id_empleado,edad,genero,departamento,antiguedad_empresa,nivel_educativo,rol_tecnico,sector,frecuencia_uso_ia,usa_chatgpt,usa_gemini,usa_copilot,usa_lms_ia,usa_otra_ia,herramienta_principal,prefiere_humano_vs_ia,nivel_integracion_ia,AT1_rendimiento,AT2_facilita_aprendizaje,AT3_facilidad_uso,AT4_integracion_positiva,AE1_resolver_problemas,AE2_confianza_digital,AE3_uso_eficaz,AE4_seguridad_aplicacion,M1_estimulante,M2_aumenta_interes,M3_aporta_valor,M4_mayor_esfuerzo,E1_adaptacion,E2_feedback_util,E3_aplicable_trabajo,E4_aprendizaje_ritmo,D1_mejora_competencias,D2_preparado_retos,D3_amplia_habilidades,D4_aprendizaje_autonomo,C1_confio_sin_verificar,C2_dificil_sin_ia,C3_pensamiento_critico,C4_reflexiono_calidad,C3_inv,C4_inv,dependency_risk,dependency_level,dependency_risk_high,motivation_score,delta_motivation_score,motivation_improved,self_efficacy_score,dropout_risk,AT_mean,D_mean,E_mean,composite_roi_score,open_experience_ai_learning,open_challenges_ai_usage,open_training_needs
Q8BM5AHU,45,No binario,Finanzas,8,FP Superior,0,Industria,4,1,1,1,0,1,Otra,1,5,1,1,3,6,2,6,4,3,7,7,2,7,2,7,3,6,4,6,2,6,1,3,4,3,4,5,3.25,low,0,5.75,1.75,1,3.75,0,2.75,4.5,4.5,3.9166666666666665,"Experiencia de aprendizaje: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales.","Principal desafío: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales.","Necesidad de formación: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales."
795UT2G3,24,Hombre,IT,2,Grado,1,Consultoría,3,1,0,1,1,0,Gemini,1,2,7,2,1,3,5,7,4,5,6,3,5,1,1,3,1,5,2,6,5,7,3,6,6,3,2,5,4.0,medium,0,3.75,-0.25,0,5.25,0,3.25,5.0,2.5,3.583333333333333,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.
9DLT8ADA,43,No binario,RRHH,1,Doctorado,1,Industria,3,1,1,0,0,1,ChatGPT,7,4,5,6,3,6,3,2,6,7,5,7,7,7,2,4,5,6,6,6,3,4,2,7,4,5,4,3,4.0,medium,0,6.5,2.5,1,4.5,0,5.0,4.75,4.25,4.666666666666667,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega."
Q90LO3MT,23,No binario,RRHH,15,FP Superior,0,Consultoría,4,1,0,0,0,1,LMS IA,3,1,6,1,3,7,1,6,4,5,5,7,1,2,1,6,3,6,3,5,7,7,7,6,6,7,2,1,4.0,medium,0,3.75,-0.25,0,4.0,0,4.25,5.5,4.0,4.583333333333333,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. Sesiones de formación aplicada podrían reducir la incertidumbre en escenarios reales."
56354NYY,45,Mujer,Marketing,1,Doctorado,1,Tecnología,1,1,0,0,1,0,Gemini,7,2,6,7,4,2,1,2,4,4,1,5,3,6,5,6,3,6,2,6,2,1,4,3,7,6,1,2,2.5,low,0,3.75,-0.25,0,2.75,1,4.75,2.75,5.0,4.166666666666667,"Experiencia de aprendizaje: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso.","Principal desafío: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso.","Necesidad de formación: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Aprender estas herramientas aumentó mi confianza y mi compromiso."
WB2U52AH,51,No binario,Operaciones,5,Grado,1,Industria,2,0,0,1,0,0,ChatGPT,3,1,1,7,5,1,4,2,2,5,2,4,4,6,6,7,1,7,5,1,5,3,4,4,7,5,1,3,3.0,low,0,4.0,0.0,0,3.25,1,3.5,3.5,5.25,4.083333333333333,"Experiencia de aprendizaje: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.","Principal desafío: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.","Necesidad de formación: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega."
JCDVVJ4R,59,No binario,IT,16,Máster,1,Industria,1,0,0,0,0,0,Copilot,7,5,2,4,1,2,2,7,1,1,6,7,2,1,1,5,5,7,6,3,1,2,1,1,1,1,7,7,4.0,medium,0,4.0,0.0,0,2.75,1,2.25,3.0,4.5,3.25,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.
PUFFAGMR,23,Hombre,IT,19,Grado,1,Tecnología,1,1,1,1,0,1,Otra,5,1,1,5,3,7,7,2,3,1,4,1,1,7,4,5,4,4,5,5,3,3,5,1,3,4,5,4,3.75,medium,0,3.25,-0.75,0,3.25,1,4.0,4.0,4.25,4.083333333333333,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.
NHJA8WAV,42,Hombre,Finanzas,4,Doctorado,1,Industria,1,1,1,0,0,1,ChatGPT,6,2,4,1,1,4,4,2,1,4,2,4,7,4,7,6,5,3,6,3,3,3,2,6,2,3,6,5,4.75,medium,0,4.25,0.25,1,2.75,1,2.5,3.75,5.25,3.8333333333333335,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.
GMDCVHV8,54,Prefiero no decirlo,RRHH,3,Doctorado,0,Industria,5,0,1,1,1,0,Copilot,1,4,7,6,2,4,3,7,4,4,2,3,5,1,6,5,2,6,7,5,1,5,6,2,4,4,4,4,4.0,medium,0,2.75,-1.25,0,4.5,1,4.75,4.5,4.75,4.666666666666667,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. La colaboración con mentores y compañeros aceleraría la adopción.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. La colaboración con mentores y compañeros aceleraría la adopción.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor. La colaboración con mentores y compañeros aceleraría la adopción."
095E5TQ1,33,Mujer,Operaciones,17,FP Superior,0,Consultoría,3,1,0,1,1,0,ChatGPT,7,5,3,1,4,7,4,4,2,7,6,3,1,4,1,6,7,6,5,3,5,3,3,6,5,5,3,3,3.75,medium,0,3.5,-0.5,0,4.25,1,3.75,4.0,5.0,4.25,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor."
SF2J54CS,43,No binario,Marketing,17,Máster,0,Industria,1,1,1,0,1,0,Otra,5,2,2,3,2,6,6,1,5,7,7,7,6,4,6,7,6,3,2,2,4,3,4,7,6,5,2,3,4.0,medium,0,6.0,2.0,1,4.75,0,3.25,2.75,5.5,3.8333333333333335,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. La colaboración con mentores y compañeros aceleraría la adopción.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. La colaboración con mentores y compañeros aceleraría la adopción.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. La colaboración con mentores y compañeros aceleraría la adopción.
P8W24GGV,46,No binario,RRHH,12,FP Superior,1,Servicios,3,0,0,1,1,1,Otra,3,5,1,5,1,5,1,3,2,6,1,4,5,3,6,2,4,1,6,3,1,4,4,6,5,5,3,3,4.0,medium,0,3.25,-0.75,0,3.0,1,3.0,3.5,3.25,3.25,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso."
CVYEGAZQ,48,Prefiero no decirlo,Marketing,14,Doctorado,1,Tecnología,4,1,1,1,0,1,Gemini,3,3,5,6,7,5,1,5,4,4,1,5,7,6,6,6,3,6,6,6,5,2,6,1,3,4,5,4,4.0,medium,0,4.75,0.75,1,3.5,1,5.75,4.75,5.25,5.25,Experiencia de aprendizaje: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.,Principal desafío: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.,Necesidad de formación: Mi nivel de dependencia de IA cambia según la complejidad de la tarea y los plazos. Me siento motivado para experimentar y mejorar en cada iteración.
MNKKD5GF,49,No binario,Finanzas,6,Grado,0,Consultoría,2,1,0,0,0,1,LMS IA,1,1,2,6,1,6,5,3,2,3,1,5,3,5,5,3,4,4,4,2,1,4,2,3,6,5,2,3,2.5,low,0,3.5,-0.5,0,3.25,1,3.75,2.75,4.0,3.5,"Experiencia de aprendizaje: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Principal desafío: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor.","Necesidad de formación: Aunque uso IA, valido los resultados y conservo autonomía en mi trabajo. Aprender estas herramientas aumentó mi confianza y mi compromiso. Las sugerencias de automatización me permiten enfocarme en actividades de mayor valor."
AH70EZN4,37,Mujer,Finanzas,3,Máster,1,Consultoría,4,0,0,1,1,1,ChatGPT,4,3,7,2,5,4,5,3,7,5,1,6,4,7,4,5,7,5,4,3,1,4,5,6,4,1,4,7,5.5,medium,0,4.5,0.5,1,5.0,0,4.5,3.0,5.25,4.25,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. Ejemplos prácticos adaptados a mi rol mejorarían mi confianza.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. Ejemplos prácticos adaptados a mi rol mejorarían mi confianza.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega. Ejemplos prácticos adaptados a mi rol mejorarían mi confianza."
F7DKZBHH,36,Prefiero no decirlo,IT,9,Grado,0,Servicios,4,0,0,0,1,0,ChatGPT,7,2,2,4,3,4,7,6,2,4,5,3,7,4,3,6,3,5,1,5,2,1,4,3,1,5,7,3,4.25,medium,0,4.75,0.75,1,4.75,0,3.25,2.25,4.25,3.25,"Experiencia de aprendizaje: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso.","Principal desafío: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso.","Necesidad de formación: La IA me resulta útil en algunos momentos, pero la combino con experiencia propia. Aprender estas herramientas aumentó mi confianza y mi compromiso."
SLHLRBP0,24,Mujer,Operaciones,5,Grado,0,Tecnología,5,0,1,1,1,0,Copilot,2,4,7,2,3,4,3,1,4,2,1,2,3,3,3,6,7,2,5,5,5,4,2,3,5,2,3,6,3.5,low,0,2.25,-1.75,0,2.5,1,4.0,4.75,4.5,4.416666666666667,"Experiencia de aprendizaje: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.","Principal desafío: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega.","Necesidad de formación: Uso la IA como apoyo, pero mantengo decisiones críticas e independientes. Me siento motivado para experimentar y mejorar en cada iteración. La IA está integrada en mi flujo diario y me ayuda a optimizar tiempos de entrega."
