empleado_id,fecha_respuesta,edad,genero,departamento,antiguedad_empresa,nivel_estudios,frecuencia_uso_ia,herramientas_ia_utilizadas,nivel_integracion_ia,tipo_formacion_recibida,indice_motivacion,indice_desarrollo_talento,indice_autoeficacia,indice_experiencia_aprendizaje,indice_aceptacion_ia,p1_utilizo_ia_para_aprendizaje,p2_ia_facilita_mi_aprendizaje,p3_motivado_participar_formacion,p4_interes_desarrollar_competencias,p5_formacion_contribuye_crecimiento,p6_mejoro_habilidades_laborales,p7_confianza_afrontar_retos,p8_preparado_aplicar_conocimientos,p9_confio_uso_ia_aprendizaje,p10_ia_util_desarrollo_profesional,comentarios_experiencia_ia,sugerencias_mejora
EMP_0011,2026-01-22 20:49:23,22,Hombre,Tecnología,3-5 años,Grado/Licenciatura,2,"ChatGPT/Claude, Asistentes de código",2,"Udemy, Formación interna, Soft skills",2.89,2.95,3.46,3.46,3.49,3,3,3,3,4,3,3,4,4,3,Prefiero la interacción humana directa en el aprendizaje.,Certificaciones o badges por completar formación con IA.
EMP_0012,2026-01-30 20:49:23,50,Prefiero no decir,Tecnología,1-3 años,Grado/Licenciatura,4,"ChatGPT/Claude, Plataformas LMS con IA",4,"Udemy, Formación interna, Formación técnica",4.25,4.95,4.4,5.24,5.46,5,6,5,4,6,5,4,5,6,6,Muy útil para practicar y obtener feedback inmediato sobre ejercicios.,Mentores que puedan guiar en el uso efectivo de estas herramientas.
EMP_0013,2026-02-17 20:49:23,42,Mujer,Operaciones,1-3 años,Máster,3,"ChatGPT/Claude, Copilot/GitHub Copilot",3,"Udemy, Soft skills",3.58,4.97,4.2,4.18,4.36,4,4,4,3,5,5,4,4,5,4,Me gustaría más formación sobre cómo usar IA efectivamente.,Workshops prácticos de casos reales usando IA.
EMP_0014,2026-01-20 20:49:23,28,Hombre,Tecnología,1-3 años,Grado/Licenciatura,3,ChatGPT/Claude,2,"Udemy, Soft skills, Formación técnica",3.72,4.13,4.05,4.33,4.12,4,4,3,4,4,5,4,4,4,4,Complementa bien la formación tradicional que ya tengo.,Canal de Slack/Teams dedicado a compartir tips de IA.
EMP_0015,2026-01-28 20:49:23,28,Mujer,RRHH,3-5 años,Máster,2,"Copilot/GitHub Copilot, Plataformas LMS con IA",2,"Udemy, Soft skills",3.47,3.33,3.37,3.93,3.15,3,3,4,3,3,3,2,5,3,3,Me falta confianza en la fiabilidad de las respuestas de la IA.,Gamificación del aprendizaje combinado con IA.
EMP_0016,2026-02-12 20:49:23,28,Mujer,Marketing,1-3 años,Grado/Licenciatura,2,"ChatGPT/Claude, Copilot/GitHub Copilot",1,"Formación interna, Soft skills, Formación técnica",3.62,2.92,2.77,3.2,3.24,3,3,4,4,3,3,4,3,3,4,No he encontrado el momento adecuado para empezar a usarla.,"Evaluaciones que midan el progreso real, no solo el uso de IA."
EMP_0017,2026-01-22 20:49:23,30,Hombre,Marketing,5-10 años,FP Superior,1,"ChatGPT/Claude, Asistentes de código",1,"Udemy, Formación técnica",2.8,1.8,3.26,2.75,2.27,2,2,3,3,2,2,4,3,2,2,Me preocupa depender demasiado de la tecnología para aprender.,Acceso a herramientas de IA premium pagadas por la empresa.
EMP_0018,2026-02-13 20:49:23,32,Mujer,Operaciones,1-3 años,FP Superior,2,Copilot/GitHub Copilot,2,"Udemy, Formación interna",3.51,3.55,3.1,3.24,3.58,3,3,4,3,3,4,4,3,4,3,Prefiero métodos de aprendizaje más tradicionales y probados.,Formación en prompt engineering para sacar más partido a la IA.
EMP_0019,2026-01-25 20:49:23,32,Mujer,Tecnología,Menos de 1 año,Grado/Licenciatura,3,"Copilot/GitHub Copilot, Plataformas LMS con IA",3,Udemy,4.24,4.26,3.84,4.79,4.42,4,4,4,4,5,4,4,3,4,5,Veo potencial pero necesito más práctica para dominarla.,Comunidad interna para resolver dudas sobre IA en formación.
EMP_0020,2026-01-29 20:49:23,30,Hombre,Ventas,5-10 años,Grado/Licenciatura,4,"ChatGPT/Claude, Copilot/GitHub Copilot, Asistentes de código",3,Udemy,4.38,5.22,5.5,5.27,5.23,6,5,5,4,5,5,5,6,5,6,Claude me ha ayudado a entender conceptos complejos de forma más clara.,Indicadores claros de cuándo usar IA vs otros métodos.
EMP_0021,2026-01-30 20:49:23,35,Mujer,Producto,1-3 años,Máster,4,Copilot/GitHub Copilot,3,"Udemy, Formación interna, Soft skills",5.14,4.24,4.23,5.33,5.19,5,6,5,6,5,4,4,4,5,6,Uso Copilot diariamente y ha mejorado significativamente mi productividad en formación.,Plantillas y frameworks para diferentes tipos de aprendizaje con IA.
EMP_0022,2026-02-15 20:49:23,25,Hombre,Ventas,1-3 años,Grado/Licenciatura,3,"ChatGPT/Claude, Otras herramientas",2,Ninguna reciente,3.67,3.89,4.08,4.15,4.41,4,4,3,3,4,4,4,4,4,5,"Depende del tema, para algunos casos la IA es útil, para otros no tanto.",Sesiones de onboarding específicas para nuevas herramientas de IA.
EMP_0023,2026-01-26 20:49:23,30,Mujer,Producto,3-5 años,Máster,5,"ChatGPT/Claude, Otras herramientas",4,"Udemy, Formación interna, Formación técnica",4.93,5.25,4.94,6.19,6.38,7,7,5,5,6,5,5,4,7,7,"La IA me permite experimentar sin miedo a equivocarme, aprendo más rápido.",Feedback personalizado sobre cómo estoy usando la IA.
EMP_0024,2026-01-28 20:49:23,30,Prefiero no decir,Tecnología,1-3 años,FP Superior,4,ChatGPT/Claude,4,"Formación interna, Soft skills, Formación técnica",4.02,5.28,4.72,4.9,5.25,5,5,5,4,6,6,4,4,5,5,Puedo hacer preguntas que me daría vergüenza hacer en público y recibo respuestas útiles.,Integración con LinkedIn Learning y otras plataformas externas.
EMP_0025,2026-02-14 20:49:23,32,Mujer,Marketing,Menos de 1 año,Máster,5,"ChatGPT/Claude, Plataformas LMS con IA",4,"Udemy, Soft skills",5.32,5.62,5.92,6.24,6.47,7,7,4,6,6,6,6,6,7,7,He descubierto recursos de aprendizaje que nunca hubiera encontrado sin la IA.,Rutas de aprendizaje predefinidas que incluyan IA como apoyo.
EMP_0026,2026-01-20 20:49:23,40,Hombre,Tecnología,1-3 años,FP Superior,3,"ChatGPT/Claude, Plataformas LMS con IA, Asistentes de código",3,"Udemy, Formación interna, Formación técnica",4.69,4.06,3.9,4.35,4.36,4,4,6,4,4,4,3,3,4,5,Me cuesta confiar plenamente en las respuestas que proporciona.,Análisis de datos sobre mi progreso de aprendizaje.
EMP_0027,2026-02-03 20:49:23,28,Mujer,Finanzas,Más de 10 años,Grado/Licenciatura,2,"ChatGPT/Claude, Plataformas LMS con IA, Asistentes de código",1,"Udemy, Formación interna",3.37,3.5,3.74,3.18,3.58,3,3,2,3,4,3,4,4,3,4,No me siento técnicamente preparado para usar estas herramientas.,Más ejemplos de cómo otros departamentos usan IA exitosamente.
EMP_0028,2026-02-03 20:49:23,32,Mujer,Producto,3-5 años,Grado/Licenciatura,1,"ChatGPT/Claude, Plataformas LMS con IA",1,"Formación interna, Soft skills",2.6,2.61,2.65,2.62,2.27,2,2,2,3,3,2,3,3,3,2,Creo que el aprendizaje requiere el toque humano que la IA no da.,Tiempo dedicado oficialmente para experimentar con IA.
EMP_0029,2026-01-27 20:49:23,35,Hombre,Tecnología,3-5 años,Máster,4,"ChatGPT/Claude, Asistentes de código",3,"Udemy, Soft skills",5.23,4.95,5.43,5.08,5.46,5,5,6,5,6,4,6,5,5,6,La IA adapta el contenido a mi nivel y eso hace la formación más efectiva.,Competencias y retos internos usando herramientas de IA.
EMP_0030,2026-01-31 20:49:23,22,Mujer,Ventas,3-5 años,Grado/Licenciatura,1,Plataformas LMS con IA,1,Ninguna reciente,2.97,2.4,3.21,2.67,2.38,2,2,3,3,2,2,3,4,2,2,Me genera desconfianza no saber de dónde viene la información.,Newsletter mensual con novedades y mejores usos de IA.
EMP_0031,2026-01-30 20:49:23,35,Hombre,Tecnología,1-3 años,Máster,2,"ChatGPT/Claude, Copilot/GitHub Copilot",2,Ninguna reciente,2.99,3.18,2.84,3.36,3.3,3,3,3,3,3,4,3,3,3,4,Prefiero aprender de personas con experiencia real en el campo.,Formación sobre cómo verificar la calidad de las respuestas de IA.
EMP_0032,2026-02-03 20:49:23,28,Mujer,Ventas,1-3 años,Grado/Licenciatura,3,Ninguna,3,"Udemy, Formación interna",4.29,4.66,4.04,4.26,4.23,4,4,4,3,5,4,4,4,4,5,Está bien para ideas generales pero necesito validación humana después.,Integración con nuestras herramientas de productividad diarias.
EMP_0033,2026-01-21 20:49:23,25,Hombre,RRHH,5-10 años,Grado/Licenciatura,3,"Copilot/GitHub Copilot, Asistentes de código",2,"Udemy, Soft skills",3.99,4.5,4.1,4.75,4.41,4,4,5,4,4,4,4,4,5,4,La uso más como punto de partida que como fuente definitiva.,Políticas claras sobre qué se puede y no se puede hacer con IA.
EMP_0034,2026-01-26 20:49:23,48,Hombre,Producto,Menos de 1 año,Otro,3,Ninguna,3,Soft skills,4.07,4.21,4.09,4.35,4.44,4,4,4,4,4,4,3,4,4,5,"Algunas respuestas son excelentes, otras son demasiado genéricas.",Soporte técnico dedicado para problemas con herramientas de IA.
EMP_0035,2026-02-09 20:49:23,50,Hombre,Ventas,1-3 años,Grado/Licenciatura,2,ChatGPT/Claude,1,Udemy,4.65,3.08,3.18,3.34,3.28,3,3,5,4,4,4,3,3,3,4,No tengo claro si la información que da es precisa o actualizada.,Dashboards personales para ver mi evolución con IA.
EMP_0036,2026-02-05 20:49:23,42,Mujer,Marketing,1-3 años,Otro,3,Ninguna,2,Ninguna reciente,3.65,4.53,3.52,4.35,4.52,4,4,3,4,4,4,3,4,5,5,Me gustaría que hubiera más guías sobre mejores prácticas de uso.,Recompensas por compartir casos de éxito usando IA en formación.
EMP_0037,2026-01-25 20:49:23,30,Hombre,Tecnología,1-3 años,Otro,3,"ChatGPT/Claude, Copilot/GitHub Copilot, Plataformas LMS con IA",3,"Udemy, Formación interna, Soft skills",4.63,4.46,3.81,3.84,4.24,4,4,4,4,4,5,3,4,4,5,La IA me ahorra tiempo pero aún prefiero la interacción con formadores.,"Formación en diferentes herramientas (ChatGPT, Claude, Copilot, etc)."
EMP_0038,2026-02-15 20:49:23,25,Mujer,Tecnología,Más de 10 años,Doctorado,5,"ChatGPT/Claude, Copilot/GitHub Copilot",5,"Udemy, Soft skills, Formación técnica",5.21,5.81,5.28,6.05,6.43,7,7,6,5,6,5,5,5,7,7,Me ayuda a practicar idiomas y habilidades técnicas de forma interactiva.,Webinars con expertos externos sobre IA en formación corporativa.
EMP_0039,2026-02-09 20:49:23,38,Hombre,Tecnología,Menos de 1 año,Máster,4,"ChatGPT/Claude, Asistentes de código",4,"Udemy, Formación interna, Soft skills, Formación técnica",5.31,4.29,4.73,5.02,5.55,6,6,5,6,5,3,5,6,5,5,Las explicaciones que da la IA son claras y fáciles de entender.,Repositorio de recursos y documentación constantemente actualizado.
EMP_0040,2026-02-10 20:49:23,32,Hombre,Tecnología,3-5 años,Máster,5,"ChatGPT/Claude, Asistentes de código",4,"Udemy, Soft skills, Formación técnica",5.3,6.25,5.29,5.96,6.56,7,7,5,5,7,6,4,6,6,7,"Puedo aprender en cualquier momento, incluso fuera del horario laboral.",Programa de embajadores de IA que puedan ayudar a otros.
EMP_0041,2026-02-08 20:49:23,25,Hombre,Operaciones,1-3 años,FP Superior,4,"ChatGPT/Claude, Copilot/GitHub Copilot, Plataformas LMS con IA",4,"Udemy, Soft skills, Formación técnica",4.3,4.64,4.99,4.85,5.35,5,6,4,5,5,4,5,5,5,5,La IA me sugiere caminos de aprendizaje que no había considerado.,Sesiones de feedback donde podamos proponer mejoras.
EMP_0042,2026-01-31 20:49:23,32,Mujer,Ventas,Más de 10 años,Grado/Licenciatura,3,Otras herramientas,3,"Udemy, Formación técnica",3.75,4.5,4.43,4.11,4.2,4,4,4,4,5,4,4,4,4,4,Es interesante pero me falta tiempo para explorar todas sus posibilidades.,Integración de IA en simulaciones y role-playing.
EMP_0043,2026-01-23 20:49:23,22,Hombre,RRHH,Menos de 1 año,Máster,2,"Copilot/GitHub Copilot, Otras herramientas",1,"Udemy, Formación interna",3.42,4.03,3.56,3.72,3.29,3,3,4,4,4,3,3,3,3,4,Me siento más cómodo con formación presencial o webinars en vivo.,Acceso a versiones beta de nuevas herramientas.
EMP_0044,2026-01-20 20:49:23,45,Mujer,Tecnología,1-3 años,Máster,4,"ChatGPT/Claude, Plataformas LMS con IA",4,"Udemy, Formación interna, Soft skills",4.79,5,4.56,5.04,5.31,5,6,5,4,4,6,4,5,6,6,He mejorado mis habilidades de programación gracias a las sugerencias de IA.,Métricas claras de ROI del tiempo invertido en formación con IA.
EMP_0045,2026-02-06 20:49:23,28,Mujer,Operaciones,5-10 años,Máster,3,ChatGPT/Claude,2,Ninguna reciente,4.6,3.8,3.47,4.74,4.3,4,4,5,4,4,4,4,3,4,5,Funciona bien para tareas repetitivas pero no para aprendizaje profundo.,Formación adaptada a diferentes niveles de experiencia tecnológica.
EMP_0046,2026-02-18 20:49:23,38,Mujer,Finanzas,5-10 años,Máster,3,"ChatGPT/Claude, Plataformas LMS con IA, Otras herramientas",3,"Formación interna, Soft skills",3.79,4.29,4.21,4.19,4.19,4,4,3,4,5,4,4,5,5,5,Todavía estoy aprendiendo a formular las preguntas correctas.,Asistente de IA personalizado según mi rol y objetivos.
EMP_0047,2026-01-22 20:49:23,30,Hombre,Tecnología,1-3 años,Grado/Licenciatura,3,Ninguna,2,"Formación interna, Soft skills",4.18,4.58,3.26,4.12,4.28,4,4,4,4,5,5,4,2,4,4,Me resulta útil para traducir conceptos técnicos a lenguaje más simple.,Cursos microlearning que incorporen IA de forma práctica.
EMP_0048,2026-01-28 20:49:23,32,Hombre,Finanzas,1-3 años,Máster,3,Copilot/GitHub Copilot,1,"Udemy, Formación interna",3.91,4.2,3.92,4.3,4.44,4,4,3,5,4,4,4,4,4,4,La uso cuando estoy atascado y necesito una perspectiva diferente.,Mayor claridad sobre privacidad y seguridad de datos con IA.
EMP_0049,2026-01-26 20:49:23,35,Mujer,RRHH,1-3 años,FP Superior,2,"ChatGPT/Claude, Asistentes de código",2,"Udemy, Formación interna, Formación técnica",3.3,2.92,4.11,3.56,3.46,3,3,3,3,3,3,5,4,3,3,No veo que mi departamento necesite realmente el uso de IA.,Eventos internos tipo hackathon centrados en IA para formación.
EMP_0050,2026-01-29 20:49:23,28,Hombre,Tecnología,1-3 años,Grado/Licenciatura,3,ChatGPT/Claude,3,"Udemy, Soft skills",4.18,4.14,3.49,4.17,4.22,4,4,5,4,5,5,4,3,4,5,Es un buen complemento pero no reemplaza la formación estructurada.,Colaboración con universidades para formación de vanguardia.
EMP_0051,2026-02-07 20:49:23,50,Mujer,RRHH,1-3 años,FP Superior,2,"ChatGPT/Claude, Copilot/GitHub Copilot, Otras herramientas",1,"Udemy, Soft skills",3.52,3.22,3.04,3.37,3.28,3,3,3,4,4,3,3,4,4,3,Prefiero invertir mi tiempo en cursos certificados y reconocidos.,Sistema de recomendación inteligente basado en mi historial.
EMP_0052,2026-02-12 20:49:23,40,Hombre,RRHH,3-5 años,Máster,4,"ChatGPT/Claude, Otras herramientas",3,"Formación interna, Formación técnica",5.74,4.91,4.51,5.28,5.35,5,6,7,6,5,5,5,4,5,5,Me permite aprender de mis errores de forma constructiva y sin juicios.,Tutoriales en video sobre funcionalidades avanzadas de IA.
EMP_0053,2026-02-13 20:49:23,48,Mujer,Tecnología,1-3 años,FP Superior,2,"ChatGPT/Claude, Copilot/GitHub Copilot",3,Udemy,3.56,3.26,2.93,3.46,3.37,3,3,4,3,3,3,3,3,3,3,Me parece que la IA puede dar respuestas incorrectas sin advertirlo.,Foros de discusión moderados sobre uso de IA en formación.
EMP_0054,2026-01-31 20:49:23,45,Mujer,Producto,1-3 años,Máster,1,"ChatGPT/Claude, Copilot/GitHub Copilot, Plataformas LMS con IA",1,"Udemy, Formación interna, Formación técnica",2.77,2.97,3.18,2.54,2.35,2,2,3,3,3,3,3,3,3,3,No quiero que la IA reemplace el contacto con mis compañeros.,Proyectos colaborativos que requieran uso de IA.
EMP_0055,2026-01-31 20:49:23,35,Prefiero no decir,Operaciones,3-5 años,Doctorado,3,"ChatGPT/Claude, Asistentes de código",3,"Soft skills, Formación técnica",4.27,4.51,3.47,4.07,4.4,4,4,4,4,5,4,3,4,4,5,Veo que otros la usan mucho y me da curiosidad aprender más.,Certificado reconocido de competencia en uso de IA corporativa.
EMP_0056,2026-02-17 20:49:23,48,Hombre,Ventas,Más de 10 años,Grado/Licenciatura,4,Ninguna,3,"Udemy, Soft skills",4.69,5.13,4.41,5.34,5.34,5,6,4,6,5,6,4,3,6,5,La velocidad de respuesta de la IA me mantiene motivado y enfocado.,App móvil para acceder a formación con IA en cualquier momento.
EMP_0057,2026-01-20 20:49:23,25,Mujer,RRHH,3-5 años,FP Superior,3,ChatGPT/Claude,1,"Udemy, Formación interna, Soft skills",3.45,3.54,4.34,3.95,4.26,4,4,4,3,5,3,5,3,5,4,Me gustaría saber qué herramientas son las mejores para mi rol específico.,Traducciones y soporte multiidioma en herramientas de IA.
EMP_0058,2026-02-15 20:49:23,28,Hombre,Marketing,Menos de 1 año,Grado/Licenciatura,2,"ChatGPT/Claude, Copilot/GitHub Copilot",1,Ninguna reciente,3.85,3.07,3.65,3.04,3.26,3,3,4,3,3,3,3,4,3,3,Creo importante mantener las habilidades de investigación tradicionales.,Acceso offline a contenido generado con IA.
EMP_0059,2026-02-01 20:49:23,22,Hombre,Ventas,Menos de 1 año,FP Superior,3,Copilot/GitHub Copilot,2,"Udemy, Formación interna",3.74,3.89,3.69,4.45,4.51,4,4,4,3,3,5,4,4,5,5,La uso esporádicamente cuando recuerdo que está disponible.,Integración con calendarios para recordatorios de formación.
EMP_0060,2026-01-30 20:49:23,30,Mujer,RRHH,Más de 10 años,Otro,2,ChatGPT/Claude,1,"Udemy, Formación interna, Soft skills",2.59,3.29,4.14,3.25,3.37,3,3,3,2,3,4,4,4,4,3,Me preocupa la privacidad al compartir información con estas herramientas.,Comparativa de diferentes herramientas de IA disponibles.
EMP_0061,2026-02-04 20:49:23,30,Mujer,Tecnología,1-3 años,Grado/Licenciatura,5,"ChatGPT/Claude, Plataformas LMS con IA",4,"Udemy, Soft skills",5.39,5.64,6.31,5.73,6.65,7,7,4,6,6,6,6,6,7,7,Complementa perfectamente la formación tradicional que recibo.,Sesiones de pair learning usando IA como facilitador.
EMP_0062,2026-02-16 20:49:23,30,Prefiero no decir,RRHH,Menos de 1 año,Grado/Licenciatura,5,Plataformas LMS con IA,5,Soft skills,5.16,5.45,5.42,6.13,6.48,7,7,5,6,6,5,6,5,7,7,Me ha ayudado a conectar conceptos de diferentes áreas de conocimiento.,Casos de éxito documentados de formación con IA en la empresa.
EMP_0063,2026-01-25 20:49:23,42,Mujer,Operaciones,3-5 años,Doctorado,3,ChatGPT/Claude,2,Ninguna reciente,3.97,4.02,4.69,4.58,4.38,4,4,4,4,4,4,4,6,5,4,Necesito más confianza en cómo verificar la calidad de las respuestas.,Biblioteca de ejercicios prácticos generados con IA.
EMP_0064,2026-02-19 20:49:23,30,Hombre,RRHH,3-5 años,Grado/Licenciatura,2,"ChatGPT/Claude, Otras herramientas",1,"Formación interna, Soft skills",3.98,3.3,3.38,3.25,3.14,3,3,4,3,3,4,4,3,3,4,Prefiero leer libros y documentación oficial de fuentes establecidas.,Sistema de niveles y progresión en el uso de IA.
EMP_0065,2026-02-15 20:49:23,30,Hombre,Tecnología,3-5 años,FP Superior,4,"ChatGPT/Claude, Copilot/GitHub Copilot, Plataformas LMS con IA, Asistentes de código",4,"Udemy, Formación interna, Formación técnica",5.32,4.33,4.1,5.05,5.13,5,6,4,7,5,5,4,4,5,5,La IA me permite explorar temas con más profundidad cuando tengo curiosidad.,Conexión con expertos internos que usan IA avanzadamente.
EMP_0066,2026-01-26 20:49:23,35,Mujer,Finanzas,1-3 años,Grado/Licenciatura,1,"ChatGPT/Claude, Plataformas LMS con IA, Asistentes de código",1,Udemy,2.94,2.8,2.57,2.64,2.22,2,2,3,3,3,3,3,2,2,2,No me gusta la idea de que una máquina dirija mi aprendizaje.,Módulos de autocorrección usando IA para práctica.
EMP_0067,2026-01-23 20:49:23,25,Hombre,Tecnología,Menos de 1 año,Grado/Licenciatura,3,"ChatGPT/Claude, Plataformas LMS con IA",1,"Udemy, Formación interna",4.13,4.33,4.23,4.05,4.28,4,4,4,4,5,4,5,3,4,5,Es práctica para consultas rápidas pero prefiero profundizar de otras formas.,Simuladores de entrevistas técnicas potenciados por IA.
EMP_0068,2026-02-10 20:49:23,42,Hombre,Tecnología,Más de 10 años,Otro,2,"ChatGPT/Claude, Plataformas LMS con IA",2,"Udemy, Formación interna, Soft skills",3.06,3.64,2.87,3.37,3.32,3,3,2,3,4,3,2,4,4,3,Aún no he visto casos de uso claros en mi área específica.,Herramientas de síntesis automática de contenido extenso.
EMP_0069,2026-02-02 20:49:23,25,Hombre,Tecnología,1-3 años,Máster,5,ChatGPT/Claude,5,"Udemy, Formación interna",5.01,5.51,5.81,6.15,6.38,7,7,4,6,6,6,5,6,6,7,Es como tener un tutor personal disponible las 24 horas del día.,Asistente de escritura para informes y presentaciones.
EMP_0070,2026-01-23 20:49:23,52,Hombre,Marketing,3-5 años,FP Superior,1,"ChatGPT/Claude, Copilot/GitHub Copilot",1,Formación interna,2.31,2.71,2.1,2.66,2.35,2,2,2,3,2,3,2,2,3,2,Me parece una moda pasajera más que una herramienta útil a largo plazo.,Generador de resúmenes ejecutivos con IA.
EMP_0071,2026-01-25 20:49:23,40,Hombre,Finanzas,5-10 años,Grado/Licenciatura,3,"ChatGPT/Claude, Plataformas LMS con IA, Otras herramientas",2,"Udemy, Soft skills",3.26,4.74,4.45,4.1,4.36,4,4,3,4,5,6,6,4,4,5,Me ayuda con la organización del aprendizaje más que con el contenido.,Sistema de alertas sobre nuevas funcionalidades de IA relevantes.
EMP_0072,2026-01-25 20:49:23,28,Hombre,RRHH,3-5 años,Máster,4,Copilot/GitHub Copilot,3,"Udemy, Formación interna, Soft skills",5.49,4.77,4.59,5.03,5.5,5,6,5,6,5,4,4,5,6,6,Me ayuda a preparar presentaciones y consolidar lo aprendido.,"Integración con Notion, Obsidian y otras herramientas de notas."
EMP_0073,2026-01-22 20:49:23,22,Hombre,Tecnología,1-3 años,Máster,3,ChatGPT/Claude,2,Formación interna,4.06,4.57,4.03,4.21,4.23,4,4,4,5,4,5,5,3,4,5,A veces las respuestas son muy largas y prefiero algo más conciso.,Espacios de coworking virtual con soporte de IA.
EMP_0074,2026-02-17 20:49:23,42,Hombre,Operaciones,1-3 años,Máster,1,"ChatGPT/Claude, Plataformas LMS con IA, Otras herramientas",1,"Udemy, Soft skills",2.59,1.94,2.19,2.37,2.12,2,2,2,3,2,2,3,2,2,2,Prefiero dedicar tiempo a networking y aprender de experiencias reales.,Seguimiento de objetivos de aprendizaje con IA.
EMP_0075,2026-02-04 20:49:23,38,Prefiero no decir,Operaciones,3-5 años,Máster,5,"ChatGPT/Claude, Copilot/GitHub Copilot, Plataformas LMS con IA",4,Udemy,4.83,5.34,4.95,6.15,6.65,7,7,5,4,5,6,5,5,7,7,Las simulaciones con IA me permiten practicar situaciones reales sin riesgo.,Notificaciones inteligentes de contenido relevante.
EMP_0076,2026-02-16 20:49:23,40,Hombre,Operaciones,5-10 años,Máster,3,Copilot/GitHub Copilot,3,"Udemy, Soft skills",4.57,4.32,3.84,4.18,4.25,4,4,5,4,4,5,3,4,5,4,La IA es buena para brainstorming pero no para decisiones finales.,Sistema de buddy virtual usando IA.
